,,question,content,category
1129,1145,"Продавец-кассир не может нажать кнопку в разделе моя карьера, якобы уже нажимала","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1130,1146,случайный отказ от моей карьеры,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1131,1147,Не могу провести прием,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1132,1148,расчет SLA,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1133,1149,не формируется документ по заявки,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1134,1150,делегировать заявку,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1135,1151,увольнение с внутреннего совмещения невозможно провести,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1136,1152,"На портале была создана заявка на прием, заявку вернули на уточнение и она теперь не отображается в заявках, нет ни открытых ни в завершенных,","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1137,1153,Не подписывается табель Т-13 за апрель,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1138,1154,Нет возможности подписания табеля,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1139,1155,в задачах при подписании табеля за апрель выдает ошибку 404,"Просьба очистить кеш/куки с использованием клавиш Ctrl + Shift + Delete. При появлении окошка с настройками в разделе ""За период"" выбрать ""За все время"". Далее выйти с личного кабинета с использованием клавиши ""Выход"" и авторизоваться повторно введя логин и пароль.",ЛК
1140,1157,проблема с увольнением сотрудника,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1141,1158,"В ДОКУМЕНТЫ ДЛЯ ПЕРЕДАЧИ В АРХИВ РАСПЕЧАТЫВАЮТСЯ НЕ ЗАПОЛНЕННЫМИ, КАРТОЧКА ГРАЖДАНИНА , ПОДЛЕЖАЩЕГО ВОИНСКОМУ УЧЕТУ(ФОРМА10) НА ДАННЫЙ МОМЕНТ ПРОБЛЕМА ВО ВКЛАДКЕ ПЕРЕДАТЬ В АРХИВ","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1142,1159,Что-то сломалось,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1143,1160,В поисковике для оформления совмещения не находит штатного сотрудника.Фото во вложении.,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1144,1161,При оформлении сотрудником дм не может втянуть заявление в своем личном кабинете,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1145,1162,сделать заявку на о не корректноц информации в ЛК,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1146,1163,"сотрудник уволен 10 апреля , но у него в лк сейчас упала заявка по переходу этк","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1147,1164,Отсутсвует персональный эмэил,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1148,1165,Добрый день. Не могу закрыть заявку Скрин во вложении,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1149,1166,прошу расшифровку премиальной части,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1150,1167,проблема с ЛК,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1151,1168,перезначение задач,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1152,1169,В моем отделе сотрудник вышел из декретного отпуска. Но учетная запись выключена. Необходимо активировать учетную запись. Сотрудник менял фамилию. Предыдущая учетная запись,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1153,1170,"ПК работает в настоящее время, в лк стоит статус - уволена.","По данному вопросу Вы можете обратиться в кадровую службу, создав заявку ""Консультация по HR вопросам""",поддержка
1154,1171,не формируются документы,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1155,1172,"написала заявление за свой счет на 01.05.2024,дк подтвердила,но в табеле не проходит( до),пишет ошибку №404","Просьба очистить кеш/куки с использованием клавиш Ctrl + Shift + Delete. При появлении окошка с настройками в разделе ""За период"" выбрать ""За все время"". Далее выйти с личного кабинета с использованием клавиши ""Выход"" и авторизоваться повторно введя логин и пароль.",ЛК
1156,1173,Как создать заявку на привязку заявок к исполнителям?,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1157,1174,зависла задача в ЛК,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1158,1175,не удается прикрепить сканированные документы в заявку на прием,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1159,1176,НЕ ЗАЙТИ ЧЕРЕЗ ЛИЧНЫЙ КАБИНЕТ В ИТОГОВЫЙ ТЕСТ. ВЫДАЕТ ОШИБКУ 404,"Просьба очистить кеш/куки с использованием клавиш Ctrl + Shift + Delete. При появлении окошка с настройками в разделе ""За период"" выбрать ""За все время"". Далее выйти с личного кабинета с использованием клавиши ""Выход"" и авторизоваться повторно введя логин и пароль.",ЛК
1160,1177,Не откликнуться на карьерный рост,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1161,1178,"Необходимо перевести сотрудника на 100% на ставку обнуленного сотрудника ,при попытке выбрать выдает ошибку и перебрасывает на поддержку","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1162,1179,"Действующий сотрудник в ЛК в карьере статус УВОЛЕН, она не оставляла ОТКЛИК","По данному вопросу Вы можете обратиться в кадровую службу, создав заявку ""Консультация по HR вопросам""",ЛК
1163,1180,Личный кабинет не работает в полном обьеме,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1164,1181,при трудоустройстве на срочный договор нет возможности указать дату окончания трудового договора,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1165,1182,"У сотрудника не отображается в Моей карьере статус Откликнуться, принята в компанию 9 месяцев назад","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1166,1183,"В личном кабинете для передачи документов в архив приходит Карточка гражданина, подлежащего воинскому учету (форма 10) пустой,не могу передать документы в архив из-за этого","Если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ИТ - компьютеры и программы - Файлы, ярлыки MS Office",документооборот
1167,1184,Не прогружается сотрудник через Слилаз в личный кабинет для трудоустройства,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1168,1185,В личном кабинете нет графы заявка на табель,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1169,1186,отсутствует в личном кабинете возможность выбора процесса Отпуск без сохранения заработной платы.,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1170,1187,"Я Директор стажер, прохожу курсы, первый этап пройден. второй этап не открывается, по какой причине?","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1171,1188,"НЕ открывается курс, второй этап Администратора, не могу пройти обучения?","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1172,1189,НЕ открывается проф тест пк,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1173,1190,я работаю в магазине пятерочка уже более 9 месяцев но в разделе моя карьера текущий статус я числюсь уволен,"По данному вопросу Вы можете обратиться в кадровую службу, создав заявку ""Консультация по HR вопросам""",ЛК
1174,1191,Почему не отмечен 4 этап как пройден?,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1175,1192,"В обучении на ДМП. Все курсы пройдены, а 4 этап не прерывные улучшения не отмечен.","Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1176,1193,не закрываются курсы,"Создайте, пожалуйста, обращение в ИТ поддержку на портале support",поддержка
1177,1194,"взяли нового сотрудника, какие документы нужны для его приема на работу?","Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1178,1195,документы при приеме,"Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1179,1196,какие документы нужны кандидату для трудоустройства,"Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1180,1197,Какие документы нужны для приема сотрудника?,"Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1181,1198,"устраивается новый сотрудник, какие документы необходимы","Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1182,1199,какие документы нужны для оформления сотрудника,"Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1183,1200,документы для трудоустройства,"Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1184,1201,перечень документов для приема кандидата,"Для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности – для процессов 1011Р, 1011О Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк.",прием на работу
1185,1202,Возможен ли прием со справкой из военкомата?,"Прием возможен с документом воинского учета, а именно: военный билет РФ, приписное свидетельство, временное удостоверение взамен военного билета. Справки из военкомата рассматриваются индивидуально. Инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу
1186,1203,Возможен ли прием сотрудника по военному билету другой страны?,"Воинскому учету подлежат только военнообязанные граждане России (п. 14 Положения, утвержденного постановлением Правительства РФ от 27 ноября 2006 г.). Таким образом, требовать документы воинского учета, в том числе военный билет, у иностранных граждан при их трудоустройстве не нужно. Инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу
1187,1204,"Про оформлении, в личном кабинете, сотрудника, на должность администратора, при выборе штатной должности не кнопки выбрать","Оформление сотрудников на должность администратора, заместителя директора, директора осуществляется через стажировку. Для приема необходимо выбрать ставку администратора-стажера, директора-стажера, заместителя-стажера. Если в штатном расписании вашего магазина отсутствует данная должность, просьба обратиться к вашему HR BP, для того чтобы он связался с ответственными за ог. развитие или планирование территории, для заведения заявки по процессу 5401 - Изменение организационной структуры и штатного расписания.",прием на работу
1188,1205,Как вернуть сотрудника в штат?,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",прием на работу
1189,1206,взять сотрудника в штат,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",прием на работу
1190,1207,вернуть сотрудника в штат,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",прием на работу
1191,1208,Необходимо взять сотрудника назад в штат,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",прием на работу
1192,1209,Нужно вернуть сотрудника в штат,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",прием на работу
1193,1210,мне нужно вернуть сотрудника в штат,"Для вывода сотрудника в штат создайте, пожалуйста, заявку в Личном кабинете по теме «Табель/график/рабочее время», далее «Обнуление ставок» с подтемой «Прекращение обнуления».",прием на работу
1194,1211,как происходит оформление нового офисного сотрудника?,"Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",прием на работу
1195,1212,как осуществляется приемка нового сотрудника в офис,"Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",прием на работу
1196,1213,мне нужно создать заявку на прием офисного сотрудника,"Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",прием на работу
1197,1214,хочу создать заявку на прием офисного сотрудника,"Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",прием на работу
1198,1215,трудоустройство в офис,"Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",прием на работу
1199,1216,"пришел новый сотрудник в офис, как его оформить?","Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",прием на работу
1200,1217,Как создать заявку на прием офис?,"Для приема офисного сотрудника, пожалуйста, создайте в разделе ""Прием"" выбрав тему ""1011О - Прием на работу (Офис)"". Подробная информация о создании заявки размещена в ""Базе знаний "".",прием на работу
1201,1219,Как трудоустроится совместителем?,"Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1202,1220,"хочу трудоустроиться еще и по совместительству, что делать","Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1203,1221,как мне оформиться на работу по совмещению?,"Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1204,1222,совместительство,"Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1205,1223,"что сделать, чтобы устроиться по совмещению?","Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1206,1224,устройство по совместительству,"Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1207,1225,стать совместителем,"Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1208,1226,хочу устроиться по совмещению,"Для оформления по совместительству обратитесь, пожалуйста, к директору магазина, в который трудоустраиваетесь. При положительном решении он создаст заявку по теме ""Прием совместителей""",прием на работу
1209,1227,Какие документы необходимо предоставить при приеме беженцев?,"Вариант 1: 1) действующее удостоверение беженца: документ, удостоверяющий личность на территории РФ; 2) регистрация по месту пребывания; 3) СНИЛС (при наличии); 4) трудовая книжка и/или сведения о трудовой деятельности (при наличии трудового стажа). Вариант 2: 1) действующее свидетельство о предоставлении временного убежища: документ, удостоверяющий личность на территории РФ; 2) может быть предоставлен паспорт, но основанием для трудоустройства будет именно свидетельство; 3) регистрация по месту пребывания; 4) СНИЛС (при наличии); 5) трудовая книжка и/или сведения о трудовой деятельности (при наличии трудового стажа). Вариант 3: 1) паспорт гражданина Украины, Донецкой Народной Республики или Луганской Народной Республики; 2) документ, подтверждающий прохождение дактилоскопии и фотографирования. Данные должны совпадать с данными в паспорте; 3) регистрация по месту пребывания; 4) СНИЛС (при наличии); 5) трудовая книжка и/или сведения о трудовой деятельности (при наличии трудового стажа); 6) документ, подтверждающий время пребывания на территории РФ*. Вариант 4: 1) действующий паспорт гражданина Украины/ЛНР/ДНР; 2) действующий патент (указанная в нем территория действия соответствует региону трудоустройства)/РВП/ВНЖ; 3) миграционная карта; 4) регистрация по месту пребывания; 5) СНИЛС (при наличии); 6) трудовая книжка и/или сведения о трудовой деятельности (при наличии трудового стажа); 7) для ИГ с РВП или ВНЖ документ, подтверждающий время пребывания на территории РФ*. Вариант 5: При наличии у кандидата паспорта гражданина РФ трудоустройство осуществляется по стандартной процедуре приема на работу граждан РФ. Инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу
1210,1228,Какие документы нужны для приема гражданина РФ?,"Для корректного оформления приема кандидата к заявке прикладываются следующие документы: Обязательные: Паспорт (все заполненные страницы) Документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) Копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой СНИЛС, за исключением случаев, когда ТД заключается впервые Расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы Согласование кандидата Службой безопасности Необязательные: Документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) ИНН (при наличии) Свидетельство о заключении/расторжении брака (при наличии) Свидетельство о рождении ребенка (при наличии) Свидетельство о перемене имени (при наличии) Выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/Заявление на перевод заработной платы на карту Альфа-Банк. Инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу
