,question,content,category,question_changed,content_changed,category_changed,catalog
1179,"действующий сотрудник в лк в карьере статус уволен, она не оставляла отклик","по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам""",лк,"действующий сотрудник в личный кабинет в карьере статус уволен, она не оставляла отклик","по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам""",личный кабинет,аккаунт
1180,личный кабинет не работает в полном обьеме,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,личный кабинет не работает в полном обьеме,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1181,при трудоустройстве на срочный договор нет возможности указать дату окончания трудового договора,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,при трудоустройстве на срочный договор нет возможности указать дату окончания трудового договора,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1182,"у сотрудника не отображается в моей карьере статус откликнуться, принята в компанию 9 месяцев назад","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,"у сотрудника не отображается в моей карьере статус откликнуться, принята в компанию 9 месяцев назад","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1183,"в личном кабинете для передачи документов в архив приходит карточка гражданина, подлежащего воинскому учету (форма 10) пустой,не могу передать документы в архив из-за этого","если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office",документооборот,"в личном кабинете для передачи документов в архив приходит карточка гражданина, подлежащего воинскому учету (форма 10) пустой,не могу передать документы в архив из-за этого","если в документе отсутствует штрихкод, нечитаемые символы, документ не открывается итп, просьба создать заявку в поддержку на support: ит - компьютеры и программы - файлы, ярлыки ms office",документооборот,документы
1184,не прогружается сотрудник через слилаз в личный кабинет для трудоустройства,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,не прогружается сотрудник через слилаз в личный кабинет для трудоустройства,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1185,в личном кабинете нет графы заявка на табель,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,в личном кабинете нет графы заявка на табель,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1186,отсутствует в личном кабинете возможность выбора процесса отпуск без сохранения заработной платы.,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,отсутствует в личном кабинете возможность выбора процесса отпуск без сохранения заработной платы.,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1187,"я директор стажер, прохожу курсы, первый этап пройден. второй этап не открывается, по какой причине?","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,"я директор стажер, прохожу курсы, первый этап пройден. второй этап не открывается, по какой причине?","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1188,"не открывается курс, второй этап администратора, не могу пройти обучения?","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,"не открывается курс, второй этап администратора, не могу пройти обучения?","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1189,не открывается проф тест пк,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,не открывается проф тест пк,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1190,я работаю в магазине пятерочка уже более 9 месяцев но в разделе моя карьера текущий статус я числюсь уволен,"по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам""",лк,я работаю в магазине пятерочка уже более 9 месяцев но в разделе моя карьера текущий статус я числюсь уволен,"по данному вопросу вы можете обратиться в кадровую службу, создав заявку ""консультация по hr вопросам""",личный кабинет,аккаунт
1191,почему не отмечен 4 этап как пройден?,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,почему не отмечен 4 этап как пройден?,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1192,"в обучении на дмп. все курсы пройдены, а 4 этап не прерывные улучшения не отмечен.","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,"в обучении на директор магазина партнёр. все курсы пройдены, а 4 этап не прерывные улучшения не отмечен.","создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1193,не закрываются курсы,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,не закрываются курсы,"создайте, пожалуйста, обращение в ит поддержку на портале support",поддержка,аккаунт
1194,"взяли нового сотрудника, какие документы нужны для его приема на работу?","для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,"взяли нового сотрудника, какие документы нужны для его приема на работу?","для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1195,документы при приеме,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,документы при приеме,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1196,какие документы нужны кандидату для трудоустройства,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,какие документы нужны кандидату для трудоустройства,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1197,какие документы нужны для приема сотрудника?,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,какие документы нужны для приема сотрудника?,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1198,"устраивается новый сотрудник, какие документы необходимы","для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,"устраивается новый сотрудник, какие документы необходимы","для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1199,какие документы нужны для оформления сотрудника,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,какие документы нужны для оформления сотрудника,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1200,документы для трудоустройства,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,документы для трудоустройства,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1201,перечень документов для приема кандидата,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,перечень документов для приема кандидата,"для корректного оформления приема кандидата необходимо вложить в заявку следующие документы: паспорт (все заполненные страницы) документы воинского учёта (для военнообязанных и лиц, подлежащих призыву на военную службу) копия 1-й и последней страницы трудовой книжки/вкладыша трудовой книжки (при наличии), либо заявление на заведение трудовой снилс, за исключением случаев, когда тд заключается впервые расписка об отсутствии/подтверждении наличия периодов государственной или муниципальной службы согласование кандидата службой безопасности – для процессов 1011р, 1011о документ об образовании (при необходимости подтвердить спец. знания, спец. подготовку) инн (при наличии) свидетельство о заключении/расторжении брака (при наличии) свидетельство о рождении ребенка (при наличии) свидетельство о перемене имени (при наличии) выписка из банка с указанием номера расчётного счёта, заявление на перечисление заработной платы на расчётный счёт/заявление на перевод заработной платы на карту альфа-банк.",прием на работу,работа
1202,возможен ли прием со справкой из военкомата?,"прием возможен с документом воинского учета, а именно: военный билет рф, приписное свидетельство, временное удостоверение взамен военного билета. справки из военкомата рассматриваются индивидуально. инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу,возможен ли прием со справкой из военкомата?,"прием возможен с документом воинского учета, а именно: военный билет российская федерация, приписное свидетельство, временное удостоверение взамен военного билета. справки из военкомата рассматриваются индивидуально. инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу,работа
1203,возможен ли прием сотрудника по военному билету другой страны?,"воинскому учету подлежат только военнообязанные граждане россии (п. 14 положения, утвержденного постановлением правительства рф от 27 ноября 2006 г.). таким образом, требовать документы воинского учета, в том числе военный билет, у иностранных граждан при их трудоустройстве не нужно. инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу,возможен ли прием сотрудника по военному билету другой страны?,"воинскому учету подлежат только военнообязанные граждане россии (п. 14 положения, утвержденного постановлением правительства российская федерация от 27 ноября 2006 г.). таким образом, требовать документы воинского учета, в том числе военный билет, у иностранных граждан при их трудоустройстве не нужно. инструкция и шаблоны доступны по ссылке https://company-x5.ru/cms/zayavkaskillaz",прием на работу,работа
1204,"про оформлении, в личном кабинете, сотрудника, на должность администратора, при выборе штатной должности не кнопки выбрать","оформление сотрудников на должность администратора, заместителя директора, директора осуществляется через стажировку. для приема необходимо выбрать ставку администратора-стажера, директора-стажера, заместителя-стажера. если в штатном расписании вашего магазина отсутствует данная должность, просьба обратиться к вашему hr bp, для того чтобы он связался с ответственными за ог. развитие или планирование территории, для заведения заявки по процессу 5401 - изменение организационной структуры и штатного расписания.",прием на работу,"про оформлении, в личном кабинете, сотрудника, на должность администратора, при выборе штатной должности не кнопки выбрать","оформление сотрудников на должность администратора, заместителя директора, директора осуществляется через стажировку. для приема необходимо выбрать ставку администратора-стажера, директора-стажера, заместителя-стажера. если в штатном расписании вашего магазина отсутствует данная должность, просьба обратиться к вашему hr bp, для того чтобы он связался с ответственными за ог. развитие или планирование территории, для заведения заявки по процессу 5401 - изменение организационной структуры и штатного расписания.",прием на работу,работа
